Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
SOBS,SOLVAY BANK SOLVAY NY,OTCID,33.170000,0.012824,1102,Common Stock,USA,New York
SODI,SOLITRON DEVICES INC,Pink Limited,23.500000,,8,Common Stock,USA,Florida
PVSP,PERVASIP CORP NEW,OTCID,0.000200,,16,Common Stock,USA,Washington
SILS,SILVER SCOTT MINES INC,OTCID,0.037125,,0,Common Stock,USA,Florida
SBUM,SILVER BUCKLE MINES,Pink Limited,0.034000,,0,Common Stock,USA,Idaho
SIEGY,SIEMENS AG SPONS ADR,Pink Limited,156.690000,-0.006468,222199,ADRs,Germany,
SMAWF,SIEMENS AG ORD,Pink Limited,310.670000,-0.005971,899,Foreign Ordinary Shares,Germany,
SDRC,SIDNEY RESOURCES CORP,OTCID,0.176420,-0.034109,87833,Common Stock,USA,Idaho
SHTGF,SHUN TAK HLDGS LTD,Pink Limited,0.085000,,0,Foreign Ordinary Shares,China,
SSDOF,SHISEIDO CO LTD ORD,Pink Limited,17.250000,,400,Foreign Ordinary Shares,Japan,
SSDOY,SHISEIDO CO LTD S/ADR,Pink Limited,16.130000,0.011285,34662,ADRs,Japan,
SPTJF,SINOPEC SHANGHAI PETRCHEM,Pink Limited,0.150000,,0,Foreign Ordinary Shares,China,
APHP,AMERICAN PICTURE HOUSE CP,OTCQB,0.130000,,0,Common Stock,USA,North Carolina
PRBG,PRIME BEING CORPORATION,OTCID,1.100000,,0,Common Stock,China,
SENEL,SENECA FOODS CORP PFD,Pink Limited,27.500000,,0,Preferred Stock,USA,New York
SENEM,SENECA FOODS CORP 12 PFD,Pink Limited,140.000000,,0,Preferred Stock,USA,New York
SETO,SETO HOLDINGS INC,OTCID,0.015500,0.476190,30000,Common Stock,USA,Maryland
SKHSF,SEKISUI HOUSE LTD,OTCID,19.570000,0.021932,668,Foreign Ordinary Shares,Japan,
SKHSY,SEKISUI HOUSE LTD S/ADR,OTCID,20.330000,-0.010706,77657,ADRs,Japan,
SOMLF,SECOM CO LTD,Pink Limited,40.050000,,0,Foreign Ordinary Shares,Japan,
SOMLY,SECOM CO LTD UNSP/ADR,Pink Limited,9.980000,0.008081,68480,ADRs,Japan,
FAVPF,FIDELITY ASIAN VALUES PLC,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
HKHC,HORIZON KINETICS HOLDING,OTCQX,28.050000,0.013367,571,Common Stock,USA,New York
SCND,SCIENTIFIC INDUSTRIES INC,Pink Limited,0.600000,-0.040000,6001,Common Stock,USA,New York
AQUI,AQUAGOLD INTL INC,OTCID,0.061000,,0,Common Stock,USA,Nevada
SASOF,SASOL LTD ORD,Pink Limited,10.560000,,0,Foreign Ordinary Shares,USA,New York
SSLZY,SANTOS LTD SP/ADR,Pink Limited,5.190000,-0.015180,243573,ADRs,Australia,South Australia
STOSF,SANTOS LTD REG,Pink Limited,5.100000,-0.066789,2864,Foreign Ordinary Shares,Australia,South Australia
SDVKF,SANDVIK AB,Pink Limited,38.992600,,52,Foreign Ordinary Shares,Sweden,
SDVKY,SANDVIK AB S/ADR,Pink Limited,41.360000,-0.003373,176072,ADRs,Sweden,
SMGBF,SAN MIGUEL CORP ORD,Pink Limited,1.100000,,0,Foreign Ordinary Shares,Philippines,
AASP,AGASSI SPORTS ENTERTMT,OTCID,6.400000,-0.015385,932,Common Stock,USA,Nevada
SFES,SAFEGUARD SCIENTIFICS INC,Pink Limited,0.489000,0.278431,1364,Common Stock,USA,Pennsylvania
TIAJF,TELECOM ITALIA S.P.A. AZ,Pink Limited,0.960532,,0,Foreign Ordinary Shares,Italy,
TIAOD,TELECOM ITALIA SPA NEW,Pink Limited,0.000000,,0,Foreign Ordinary Shares,Italy,
CEREF,CAISSE RGNLE CRD SUD RHON,Pink Limited,0.000000,,0,Other Security Type,,
TIIAY,TELECOM ITALIA S/ADR,Pink Limited,11.000000,0.048618,15332,ADRs,Italy,
PVCT,PROVECTUS BIOPHARMS,OTCQB,0.061700,-0.000972,121953,Common Stock,USA,Tennessee
SKFRY,SKF AB S/ADR,Pink Limited,25.440000,-0.022291,27413,ADRs,Sweden,
PGNT,PARAGON TECHS INC,OTCID,4.950000,,0,Common Stock,USA,Pennsylvania
STMEF,STMICROELECTRONICS,Pink Limited,75.700000,-0.005230,875,Foreign Ordinary Shares,The Netherlands,
SDAD,S H RESOURCES&DEVEL CORP,Pink Limited,0.078000,,0,Common Stock,USA,California
ROYL,ROYALE ENERGY INC,Pink Limited,0.081100,0.012902,66877,Common Stock,USA,California
RBSPF,NATWEST GROUP PLC,Pink Limited,8.202500,-0.017653,3169,Foreign Ordinary Shares,United Kingdom,Scotland
RYLBF,ROYAL BK CDA 1ST PFD BO,Pink Limited,19.498000,,0,Preferred Stock,Canada,Ontario
RLLCF,ROLLS ROYCE HLDG PREF C,Pink Limited,0.001600,0.142857,570346,Preferred Stock,United Kingdom,
RYCEF,ROLLS ROYCE HLDG PLC ORD,Pink Limited,18.428000,-0.008714,61264,Foreign Ordinary Shares,United Kingdom,
RYCEY,ROLLS ROYCE HLDGS S/ADR,Pink Limited,18.440000,-0.009667,2525827,ADRs,United Kingdom,
RCIAF,ROGERS COMMUN INC A,Pink Limited,39.000000,,0,Foreign Ordinary Shares,Canada,Ontario
RHHBF,ROCHE HOLDING LTD ORD,OTCQX,404.000000,-0.030710,1231,Foreign Ordinary Shares,Switzerland,
RHHBY,ROCHE HOLDING LTD S/ADR,OTCQX,51.060000,-0.001369,1546530,ADRs,Switzerland,
RHHVF,ROCHE HLDG DIV RTS,OTCQX,403.500000,-0.001682,1487,Rights,Switzerland,
RSKIA,RISK (GEORGE) INDUS INC A,Pink Limited,18.650000,0.000000,178,Common Stock,USA,Nebraska
RICOF,RICOH CO LTD,Pink Limited,9.190000,,0,Foreign Ordinary Shares,Japan,
RICOY,RICOH CO LTD SPN ADR,Pink Limited,9.640000,,6,ADRs,Japan,
GMALF,GENTING MALAYSIA BHD ORD,OTCID,0.491900,,0,Foreign Ordinary Shares,Malaysia,
GMALY,GENTING MALAYSIA S/ADR,OTCID,14.050000,,0,ADRs,Malaysia,
RSRV,RESERVE PETROLEUM CO,OTCID,211.000000,0.001638,2,Common Stock,USA,Oklahoma
REPYF,REPSOL YPF SA ORD,OTCQX,25.364000,0.000454,125,Foreign Ordinary Shares,Spain,
REPYY,REPSOL SA SP/ADR,OTCQX,24.990000,-0.008727,154364,ADRs,Spain,
REOP,REO PLASTICS INC,OTCID,49.400000,,0,Common Stock,USA,Minnesota
RKLIF,RENTOKIL INITIAL 2005 ORD,Pink Limited,5.930000,,26,Foreign Ordinary Shares,United Kingdom,England
RELV,RELIV INTL INC,OTCID,2.170000,,0,Common Stock,USA,Missouri
RLBY,RELIABILITY INC,Pink Limited,0.050000,,0,Common Stock,USA,Maryland
RAFI,REGENCY AFFILIATES INC,OTCID,4.150000,,0,Common Stock,USA,New York
PIAC,PRINCETON CAPITAL CORP,Pink Limited,0.051000,,0,Common Stock,USA,Massachusetts
RLXXF,RELX PLC ORD,Pink Limited,31.800000,-0.012238,3787,Foreign Ordinary Shares,United Kingdom,
GOGY,GOLDEN GRAIL TECH CORP,OTCID,0.016300,-0.094444,2200,Common Stock,USA,Florida
RWEOY,RWE AG ORD S/ADR,Pink Limited,62.870000,-0.014453,100316,ADRs,Germany,
RWNFF,RWE AG NEW ESSEN,Pink Limited,64.496000,,692,Foreign Ordinary Shares,Germany,
RTPPF,RIO TINTO PLC ORD,Pink Limited,101.025000,,87,Foreign Ordinary Shares,United Kingdom,
TSPG,TGI SOLAR POWER GROUP INC,Pink Limited,0.002300,0.000000,110000,Common Stock,USA,Florida
RCBC,RIVER CITY BANK CALIF,OTCID,43.200000,0.000000,1400,Common Stock,USA,California
PRPH,PROPHASE LABS INC,Pink Limited,0.075200,-0.029051,144549,Common Stock,USA,New York
QUCT,QUEEN CITY INVESTMENT INC,Pink Limited,2132.000000,0.005665,51,Common Stock,USA,California
QBCAF,QUEBECOR INC A,Pink Limited,41.520000,,0,Foreign Ordinary Shares,Canada,Quebec
QBCRF,QUEBECOR INC B,Pink Limited,48.322000,-0.010809,55390,Foreign Ordinary Shares,Canada,Quebec
QZMRF,QUARTZ MOUNTAIN RES,OTCQX,0.423100,0.025946,9445,Foreign Ordinary Shares,Canada,British Columbia
FUKUF,FUKUDA CORP,Pink Limited,0.000000,,0,Foreign Ordinary Shares,,
EVIO,EVIO INC,OTCID,0.000001,0.000000,3000059,Common Stock,USA,Nevada
VAPR,VAPORBRANDS INTL INC,Pink Limited,0.005000,0.000000,9372,Common Stock,USA,Washington
QNBC,Q N B CORP,OTCQX,43.790000,,0,Common Stock,USA,Pennsylvania
ONPH,ONCOLOGY PHARMA INC,OTCID,0.070000,0.400000,10000,Common Stock,USA,Nevada
SSHT,SSHT S&T GROUP LTD,OTCID,0.014000,,0,Common Stock,New Zealand,
PCYN,PROCYON CORP,Pink Limited,0.201000,,0,Common Stock,USA,Florida
DSUS,DRONE SERVICES USA INC,Pink Limited,0.000100,,0,Common Stock,USA,New York
PWCCF,POWER CP CDA PFD B 5.35%,Pink Limited,0.000000,,0,Preferred Stock,Canada,Quebec
PWCDF,POWER CORP CANADA,Pink Limited,62.880000,-0.001905,175876,Foreign Ordinary Shares,Canada,Quebec
MSEXP,MIDDLESEX WATER 7 PR,Pink Limited,589.000000,,0,Preferred Stock,USA,New Jersey
POSC,POSITRON CORP,OTCID,1.759410,0.010574,5674,Common Stock,USA,New York
PRSI,PORTSMOUTH SQUARE INC,Pink Limited,5.230000,,0,Common Stock,USA,California
PONT,PONTIAC BANCORP INC,OTCID,729.850000,,0,Common Stock,USA,Illinois
SKTP,SKYTOP LODGE CORP,Pink Limited,1625.000000,,0,Common Stock,USA,Pennsylvania
SKTPP,SKYTOP LODGE CORP 7 PFD,Pink Limited,195.000000,,0,Preferred Stock,USA,Pennsylvania
VMHG,VICTORY MARINE HLDGS CORP,OTCID,0.042400,0.189341,8902761,Common Stock,USA,California
POGS,PIONEER OIL & GAS,Pink Limited,0.101200,,0,Common Stock,USA,Utah
IDEA,INVENT VENTURES INC NEW,Pink Limited,0.028100,,0,Common Stock,USA,Florida
RYLPF,ROYAL PHILLIPS NV ORD,Pink Limited,25.808000,,24,Foreign Ordinary Shares,The Netherlands,
PHTCF,PLDT INC ORD,Pink Limited,18.150000,,0,Foreign Ordinary Shares,Philippines,
PXMFF,PHILEX MINING CORP ORD,Pink Limited,0.102500,,0,Foreign Ordinary Shares,Philippines,
QPRC,QUEST PATENT RESEARCH CP,OTCQB,0.280000,0.040892,494,Common Stock,USA,New York
PTITF,PT INDOSAT TBK ORD,Pink Limited,0.140200,,0,Foreign Ordinary Shares,Indonesia,
PDRDF,PERNOD RICARD ORD,Pink Limited,73.250000,0.017361,382,Foreign Ordinary Shares,France,
PRNDY,PERNOD RICARD S A SP/ADR,Pink Limited,14.281000,-0.027345,1719451,ADRs,France,
PPLL,PEOPLES LTD,OTCID,58.850000,-0.002542,300,Common Stock,USA,Pennsylvania
PKIN,PEKIN LIFE INS CO CAP,OTCID,11.750000,,0,Common Stock,USA,Illinois
CPMV,MOSAIC IMMUNOENGINEERING,Pink Limited,0.674000,,0,Common Stock,USA,California
YBZN,YI PO INTL HLDG LTD,OTCID,0.457500,,0,Common Stock,China,
PRKR,PARKERVISION INC,OTCQB,0.123000,0.065858,57280,Common Stock,USA,Florida
PDER,PARDEE RESOURCES CO INC,Pink Limited,285.000000,0.000000,237,Common Stock,USA,Pennsylvania
MPIR,EMPIRE DIVERSIFIED ENGY,Pink Limited,0.003100,,0,Common Stock,USA,West Virginia
ANSLF,ANSELL LTD ORD SHS,Pink Limited,19.585000,,0,Foreign Ordinary Shares,Australia,
ANSLY,ANSELL LTD S/ADR,Pink Limited,84.090000,,1,ADRs,Australia,
PTCAY,PT CHANDRA ASRI U/ADR,Pink Limited,8.000000,,0,ADRs,Indonesia,
PTPIF,PT CHANDRA ASRI PACIFIC,Pink Limited,0.526700,,0,Foreign Ordinary Shares,Indonesia,
OTLC,ONCOTELIC THERAPEUTCS INC,OTCQB,0.045000,0.094891,400348,Common Stock,USA,California
OXBC,OXFORD BANK CORP,OTCID,43.150000,-0.000632,500,Common Stock,USA,Michigan
SNTL,SENTINEL HOLDINGS LTD,OTCQB,4.450000,0.112500,205,Common Stock,USA,California
OBTEF,ORBITAL CORP ORD,Pink Limited,1.000000,,0,Foreign Ordinary Shares,Australia,Western Australia
ORBT,ORBIT INTL CORP,OTCID,4.970000,-0.023236,27832,Common Stock,USA,New York
GRPS,GOLD RIVER PRODS INC,Pink Limited,0.000200,-0.200000,1000002,Common Stock,USA,Texas
OCPNF,OLYMPUS CORP ORD,Pink Limited,10.010000,-0.047120,700,Foreign Ordinary Shares,Japan,
OLYMY,OLYMPUS CORP U/ADR,Pink Limited,10.000000,-0.033816,38600,ADRs,Japan,
AFNL,AMFIN FINANCIAL CORP,Pink Limited,360.000000,,0,Common Stock,USA,Ohio
SPOM,SPO GLOBAL INC,OTCID,0.000300,0.000000,36060,Common Stock,USA,Florida
NONOF,NOVO NORDISK A/S B NEW,Pink Limited,44.010000,0.003393,4228,Foreign Ordinary Shares,USA,New York
NODB,NORTH DALLAS BK&TR CO TEX,OTCID,63.600000,,0,Common Stock,USA,Texas
MOVAA,MOVADO GROUP INC A,Pink Limited,2.000000,,0,Common Stock,USA,New Jersey
NHYDY,NORSK HYDRO A S ADS,OTCQX,10.540000,-0.031205,112840,ADRs,Norway,
NHYKF,NORSK HYDRO AS ORD,OTCQX,10.742500,-0.000930,5823,Foreign Ordinary Shares,Norway,
MRTI,MAXUS REALTY TRUST INC,Pink Limited,79.527000,0.050555,50,Common Stock,USA,Missouri
NIMU,NON-INVASIVE MONITORG SYS,Pink Limited,0.062500,-0.246988,252,Common Stock,USA,Florida
NRSCF,NOMURA HLDGS INC,Pink Limited,8.813000,0.042959,83101,Foreign Ordinary Shares,USA,New York
